"STATION","NAME","DATE","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-12-31",,"55","50","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-01",,"55","49","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-02",,"56","49",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-03",,"58","47","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-04",,"66","49","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-05",,"50","44","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-06",,"49","39","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-07",,"45","37",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-08",,"41","33",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-09",,"44","37","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-10",,"41","38",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-11",,"39","35",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-12",,"55","37","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-13",,"57","38","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-14",,"38","31",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-15",,"41","30",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-16",,"48","28",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-17",,"47","35",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-18",,"53","42",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-19",,"44","40","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-20",,"49","40","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-21",,"42","37",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-22",,"42","36","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-23",,"39","36","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-24",,"46","35",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-25",,"54","35","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-26",,"57","41","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-27",,"44","35",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-28",,"52","36",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-29",,"53","42",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-30",,"55","43",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-01-31",,"50","31","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-01",,"38","26",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-02",,"40","29",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-03",,"35","11",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-04",,"27","3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-05",,"49","27",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-06",,"52","34",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-07",,"43","30",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-08",,"53","39",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-09",,"55","42",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-10",,"61","45",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-11",,"46","36",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-12",,"48","38",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-13",,"57","41",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-14",,"54","40",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-15",,"67","47",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-16",,"70","56",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-17",,"61","32","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-18",,"43","27",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-19",,"50","37",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-20",,"61","47",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-21",,"50","37","    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-22",,"44","37","    1",,,"    1",,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-23",,"44","38","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-24",,"45","25","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-25",,"33","23",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-26",,"50","30",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-27",,"46","33","    1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-02-28",,"38","32","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-01",,"44","33","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-02",,"54","39","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-03",,"47","37","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-04",,"45","38","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-05",,"53","38",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-06",,"52","40",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-07",,"47","33","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-08",,"48","31",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-09",,"51","33",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-10",,"46","35","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-11",,"45","35","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-12",,"48","34",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-13",,"45","38","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-14",,"38","33","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-15",,"45","34",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-16",,"59","34",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-17",,"60","47",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2023-03-18",,"56","40",,,,,,
